track_id,uri,track_href,analysis_url,duration_ms,time_signature,danceability,energy,track_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type
004iU8s6Wdl5NnuYSgveT3,spotify:track:004iU8s6Wdl5NnuYSgveT3,https://api.spotify.com/v1/tracks/004iU8s6Wdl5NnuYSgveT3,https://api.spotify.com/v1/audio-analysis/004iU8s6Wdl5NnuYSgveT3,175636,4,0.469,0.499,0,-9.838,1,0.0319,0.0606,0.0916,0.119,0.658,106.888,audio_features
00a4SBpnXNk66QM7iPIKN3,spotify:track:00a4SBpnXNk66QM7iPIKN3,https://api.spotify.com/v1/tracks/00a4SBpnXNk66QM7iPIKN3,https://api.spotify.com/v1/audio-analysis/00a4SBpnXNk66QM7iPIKN3,291000,4,0.35,0.53,8,-11.847,0,0.0441,0.0109,0.248,0.0954,0.241,151.497,audio_features
00B7SBwrjbycLMOgAmeIU8,spotify:track:00B7SBwrjbycLMOgAmeIU8,https://api.spotify.com/v1/tracks/00B7SBwrjbycLMOgAmeIU8,https://api.spotify.com/v1/audio-analysis/00B7SBwrjbycLMOgAmeIU8,251589,4,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,audio_features
00ITtxUozN0vifE2uYvtqn,spotify:track:00ITtxUozN0vifE2uYvtqn,https://api.spotify.com/v1/tracks/00ITtxUozN0vifE2uYvtqn,https://api.spotify.com/v1/audio-analysis/00ITtxUozN0vifE2uYvtqn,181693,4,0.521,0.902,11,-4.826,0,0.197,0.0164,0.00105,0.737,0.592,104.708,audio_features
00oZhqZIQfL9P5CjOP6JsO,spotify:track:00oZhqZIQfL9P5CjOP6JsO,https://api.spotify.com/v1/tracks/00oZhqZIQfL9P5CjOP6JsO,https://api.spotify.com/v1/audio-analysis/00oZhqZIQfL9P5CjOP6JsO,179547,4,0.38,0.829,5,-6.105,1,0.0405,8.4e-05,0.00208,0.342,0.0534,125.887,audio_features
00v40zjqnsp6FDqyyt25uJ,spotify:track:00v40zjqnsp6FDqyyt25uJ,https://api.spotify.com/v1/tracks/00v40zjqnsp6FDqyyt25uJ,https://api.spotify.com/v1/audio-analysis/00v40zjqnsp6FDqyyt25uJ,171920,4,0.534,0.921,0,-6.203,1,0.0572,0.211,0.0,0.0885,0.929,161.951,audio_features
019ZYSWnKXDFC0bcxfGxzT,spotify:track:019ZYSWnKXDFC0bcxfGxzT,https://api.spotify.com/v1/tracks/019ZYSWnKXDFC0bcxfGxzT,https://api.spotify.com/v1/audio-analysis/019ZYSWnKXDFC0bcxfGxzT,272613,4,0.502,0.785,7,-8.595,1,0.0384,0.012,0.0101,0.273,0.565,119.206,audio_features
01AKO5Syk8cVCKTjyZfuBw,spotify:track:01AKO5Syk8cVCKTjyZfuBw,https://api.spotify.com/v1/tracks/01AKO5Syk8cVCKTjyZfuBw,https://api.spotify.com/v1/audio-analysis/01AKO5Syk8cVCKTjyZfuBw,266165,4,0.486,0.933,4,-5.332,1,0.0352,0.000798,0.167,0.244,0.431,138.678,audio_features
01jgBajEVAf7SHWIryrIAZ,spotify:track:01jgBajEVAf7SHWIryrIAZ,https://api.spotify.com/v1/tracks/01jgBajEVAf7SHWIryrIAZ,https://api.spotify.com/v1/audio-analysis/01jgBajEVAf7SHWIryrIAZ,214493,3,0.473,0.419,10,-10.693,1,0.0724,0.766,1.76e-05,0.0938,0.493,184.553,audio_features
01JYvQ6udfhUw9Jed9EzoK,spotify:track:01JYvQ6udfhUw9Jed9EzoK,https://api.spotify.com/v1/tracks/01JYvQ6udfhUw9Jed9EzoK,https://api.spotify.com/v1/audio-analysis/01JYvQ6udfhUw9Jed9EzoK,217093,4,0.655,0.972,7,-3.502,1,0.0362,0.257,0.297,0.165,0.973,135.922,audio_features
01K1zFyjJhG2Qk7PIkSAEA,spotify:track:01K1zFyjJhG2Qk7PIkSAEA,https://api.spotify.com/v1/tracks/01K1zFyjJhG2Qk7PIkSAEA,https://api.spotify.com/v1/audio-analysis/01K1zFyjJhG2Qk7PIkSAEA,142160,4,0.4,0.836,7,-6.791,1,0.0359,0.377,0.0,0.0652,0.907,75.403,audio_features
01qyoYVrrXnpqt40Xz14mG,spotify:track:01qyoYVrrXnpqt40Xz14mG,https://api.spotify.com/v1/tracks/01qyoYVrrXnpqt40Xz14mG,https://api.spotify.com/v1/audio-analysis/01qyoYVrrXnpqt40Xz14mG,138019,3,0.609,0.311,9,-9.189,1,0.0302,0.13,0.00355,0.116,0.363,133.278,audio_features
01SfTM5nfCou5gQL70r6gs,spotify:track:01SfTM5nfCou5gQL70r6gs,https://api.spotify.com/v1/tracks/01SfTM5nfCou5gQL70r6gs,https://api.spotify.com/v1/audio-analysis/01SfTM5nfCou5gQL70r6gs,91760,4,0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608,audio_features
01U4F4vvMFFDtH1LYbRerN,spotify:track:01U4F4vvMFFDtH1LYbRerN,https://api.spotify.com/v1/tracks/01U4F4vvMFFDtH1LYbRerN,https://api.spotify.com/v1/audio-analysis/01U4F4vvMFFDtH1LYbRerN,128733,4,0.543,0.621,10,-6.527,1,0.0347,0.405,1.36e-06,0.0964,0.688,138.472,audio_features
01xMiErR26kH1KCif6uEYI,spotify:track:01xMiErR26kH1KCif6uEYI,https://api.spotify.com/v1/tracks/01xMiErR26kH1KCif6uEYI,https://api.spotify.com/v1/audio-analysis/01xMiErR26kH1KCif6uEYI,105987,4,0.643,0.73,7,-6.859,1,0.0347,0.0917,0.0,0.253,0.96,96.711,audio_features
